Grouped Metabolites,Clinical data 95% CI,Clinical data R2,Clinical data p-value,Diet 95% CI,Diet R2,Diet p-value,Full model 95% CI,Full model R2,Full model p-value,Genetics 95% CI,Genetics R2,Genetics p-value,Lifestyle 95% CI,Lifestyle R2,Lifestyle p-value,Microbiome 95% CI,Microbiome R2,Microbiome p-value,Time of day 95% CI,Time of day R2,Time of day p-value,CHEMICAL_ID,COMP_ID,Group   HMDB_ID,Sample   HMDB_ID,BIOCHEMICAL,CAS,CHEMSPIDER,KEGG,MASS,PATHWAY_SORTORDER,PLATFORM,PUBCHEM,RI,SUB_PATHWAY,SUPER_PATHWAY,COMMENT,metabolite,micro_r2,geno_r2,total,group,BIOCHEMICAL_NAME
X - 24983,,-0.0445221233389692,1.0,,-0.127503945844697,1.0,,-0.0587140685734657,1.0,"(0.5650476098725077, 0.5650486098725077)",0.565047609872507,2.56315427167791e-76,,-0.0580318552628156,1.0,,-0.0823917551390396,1.0,"(0.019850782457554204, 0.05221775088774483)",0.0422532464914693,2.61963197926967e-07,X - 24983,57839,,,"N(6),N(6)-dimethyllysine",,,,175.143739999999,,LC/MS Pos Early,,2833.0,Lysine Metabolism,Amino Acid,X - 24983,metabolite_X - 24983,0.0,0.565047609872507,0.565047609872507,genetics,"N(6),N(6)-dimethyllysine"
X - 16124,,-0.0089022411444779,1.0,,-0.0141756331276425,1.0,"(0.4858165377031203, 0.5346936984750393)",0.551596585263622,4.09318838004548e-268,,-0.0043629436932715,1.0,,-0.0486895263122477,1.0,"(0.5085758551366136, 0.5573424065759399)",0.560906465298114,7.42253964181519e-270,,-0.0073918005842406,1.0,X - 16124,46461,,,X - 16124,,,,203.0022,,LC/MS Neg,,2563.6,,,X - 16124,metabolite_X - 16124,0.560906465298114,0.0,0.560906465298114,microbiome,X - 16124
X - 24809,,-0.0411072550466975,1.0,,-0.0973740026377916,1.0,,-0.12365900331136,1.0,"(0.5595270655706126, 0.5595280655706126)",0.559527065570612,3.50096298707905e-75,,-0.00875256559808668,1.0,,-0.10642986446403,1.0,,-0.00649557506037279,1.0,X - 24809,54837,,,"N2-acetyl,N6,N6-dimethyllysine",,,,217.15455,,LC/MS Pos Early,,2180.0,Lysine Metabolism,Amino Acid,X - 24809,metabolite_X - 24809,0.0,0.559527065570612,0.559527065570612,genetics,"N2-acetyl,N6,N6-dimethyllysine"
2054,,-0.0564104341313946,1.0,,-0.10432406329717,1.0,,-0.0462910819653759,1.0,"(0.5458120004953629, 0.545813000495363)",0.545812000495362,1.87410653359678e-72,,-0.0514649148800672,1.0,,-0.0964394691876266,1.0,,-0.00745627763288569,1.0,2054,15765,HMDB00622,,ethylmalonate,601-75-2,11263.0,,131.03498,291.0,LC/MS Polar,11756.0,2785.0,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,ethylmalonate,metabolite_2054,0.0,0.545812000495362,0.545812000495362,genetics,ethylmalonate
X - 12112,,-0.00408734702784285,1.0,,-0.0987079498006593,1.0,,-0.0538762336707643,1.0,"(0.5301734467098121, 0.5301744467098122)",0.530173446709812,2.04790156003936e-69,,-0.0448190274894142,1.0,,-0.0453644894647367,1.0,"(-0.021093037760427077, 0.012681019956716031)",0.000152288112499565,0.986019831710139,X - 12112,47690,,,X - 12112,,,,142.0862,,LC/MS Pos Early,,950.0,,,X - 12112,metabolite_X - 12112,0.0,0.530173446709812,0.530173446709812,genetics,X - 12112
X - 11843+X - 11850+X - 12013,,-0.0215631389584394,1.0,,-0.00751512404683851,1.0,"(0.4513715212367456, 0.501808471649304)",0.526373531823597,2.61280363981904e-263,,-0.00218559405216312,1.0,,-0.0345561793079252,1.0,"(0.4337300203231692, 0.4884798174337249)",0.507125172531009,7.70972867704802e-228,,-0.0131720892405231,1.0,X - 11843,46466,,,X - 11843,,,,230.01298,,LC/MS Neg,,2674.6,,,candidate structure is an aromatic amino acid related metabolite,metabolite_X - 11843,0.507125172531009,0.0,0.507125172531009,microbiome,X - 11843
100001054,"(0.006770059431434803, 0.0977964142802693)",0.0774635172964388,0.00081525832945469,,-0.0701490499365942,1.0,"(0.03344080736464211, 0.10993496185334237)",0.0832948201220392,1.45881804238812e-05,"(0.4315748136593739, 0.43157581365937386)",0.431574813659373,2.09998160577804e-52,,-0.0572185575554626,1.0,,-0.0376196012259733,1.0,,-0.00502591756164916,1.0,100001054,32412,HMDB02013,,butyrylcarnitine (C4),25576-40-3,184820.0,C02862,232.15434,1325.0,LC/MS Pos Early,439829.0,2860.0,Fatty Acid Metabolism (also BCAA Metabolism),Lipid,butyrylcarnitine (C4),metabolite_100001054,0.0,0.431574813659373,0.431574813659373,genetics,butyrylcarnitine (C4)
100001315,"(-0.07010439021763241, 0.021878240827469125)",0.010842226114669,0.653756499697889,,-0.0251201251749655,1.0,"(0.32978145070029363, 0.3947100297920374)",0.414766764187684,2.00196295905359e-113,,-0.00240199257652329,1.0,,-0.0538026146685803,1.0,"(0.34503304693895204, 0.41384592053519187)",0.421074179907039,4.58563158296512e-106,,-0.000939798462864072,1.0,100001315,36103,HMDB11635,,p-cresol sulfate,3233-57-7,3806480.0,,187.00705,3560.0,LC/MS Neg,4615423.0,2890.0,Benzoate Metabolism,Xenobiotics,p-cresol sulfate,metabolite_100001315,0.421074179907039,0.0,0.421074179907039,microbiome,p-cresol sulfate
100006191,"(-0.05365931400441265, 0.03989502256010474)",0.0185149086152052,0.441315213422381,,-0.0243685407715739,1.0,"(0.34873104524865695, 0.40241714073636337)",0.417032384611206,1.93199491480066e-176,,-0.0034208594302898,1.0,,-0.048608777468466,1.0,"(0.3487142200176254, 0.4033167763206995)",0.41256299430783,2.04200029949045e-161,,-0.003945508283689,1.0,100006191,48841,HMDB11686,,p-cresol-glucuronide*,17680-99-8,135751.0,,283.08232,175.0,LC/MS Neg,154035.0,2420.0,Tyrosine Metabolism,Amino Acid,p-cresol-glucuronide*,metabolite_100006191,0.41256299430783,0.0,0.41256299430783,microbiome,p-cresol-glucuronide*
X - 12261,,-0.0391889602943749,1.0,,-0.0414451343824771,1.0,"(0.29190179739521754, 0.3985398227946008)",0.420835040467829,1.18057837843084e-48,,-0.00577558837083369,1.0,,-0.0766560176228094,1.0,"(0.260381298289647, 0.37493019135798344)",0.400286654303687,9.10672819616215e-39,,-0.00556708333381905,1.0,X - 12261,47657,,,X - 12261,,,,258.00799,,LC/MS Neg,,1853.0,,,candidate structure is an aromatic amino acid related metabolite,metabolite_X - 12261,0.400286654303687,0.0,0.400286654303687,microbiome,X - 12261
