index,metabolite
1,metabolite_35
2,metabolite_50
3,metabolite_55
4,metabolite_62
5,metabolite_93
6,metabolite_98
7,metabolite_111
8,metabolite_112
9,metabolite_132
10,metabolite_136
11,metabolite_158
12,metabolite_171
13,metabolite_179
14,metabolite_180
15,metabolite_181
16,metabolite_182
17,metabolite_189
18,metabolite_192
19,metabolite_194
20,metabolite_197
21,metabolite_209
22,metabolite_212
23,metabolite_229
24,metabolite_231
25,metabolite_234
26,metabolite_240
27,metabolite_241
28,metabolite_244
29,metabolite_250
30,metabolite_252
31,metabolite_254
32,metabolite_266
33,metabolite_267
34,metabolite_273
35,metabolite_275
36,metabolite_278
37,metabolite_279
38,metabolite_297
39,metabolite_302
40,metabolite_313
41,metabolite_330
42,metabolite_331
43,metabolite_338
44,metabolite_339
45,metabolite_340
46,metabolite_342
47,metabolite_344
48,metabolite_355
49,metabolite_356
50,metabolite_358
51,metabolite_361
52,metabolite_363
53,metabolite_376
54,metabolite_391
55,metabolite_397
56,metabolite_407
57,metabolite_409
58,metabolite_415
59,metabolite_424
60,metabolite_432
61,metabolite_439
62,metabolite_444
63,metabolite_445
64,metabolite_452
65,metabolite_460
66,metabolite_461
67,metabolite_480
68,metabolite_482
69,metabolite_491
70,metabolite_498
71,metabolite_501
72,metabolite_503
73,metabolite_504
74,metabolite_512
75,metabolite_519
76,metabolite_533
77,metabolite_535
78,metabolite_537
79,metabolite_561
80,metabolite_563
81,metabolite_564
82,metabolite_565
83,metabolite_566
84,metabolite_572
85,metabolite_796
86,metabolite_798
87,metabolite_799
88,metabolite_800
89,metabolite_803
90,metabolite_806
91,metabolite_811
92,metabolite_815
93,metabolite_821
94,metabolite_823
95,metabolite_825
96,metabolite_849
97,metabolite_878
98,metabolite_880
99,metabolite_888
100,metabolite_891
101,metabolite_892
102,metabolite_893
103,metabolite_913
104,metabolite_917
105,metabolite_922
106,metabolite_932
107,metabolite_980
108,metabolite_1001
109,metabolite_1002
110,metabolite_1004
111,metabolite_1021
112,metabolite_1022
113,metabolite_1023
114,metabolite_1024
115,metabolite_1025
116,metabolite_1026
117,metabolite_1052
118,metabolite_1053
119,metabolite_1082
120,metabolite_1083
121,metabolite_1084
122,metabolite_1087
123,metabolite_1090
124,metabolite_1094
