Run,Bases,BioProject,Bytes,stool_sample_id,public_client_id,genome_id,blood_sample_id,blood_days_in_program,stool_days_in_program
SRR18747582,84825952,PRJNA826530,55349669,AV15-1592,01000261,A477AV494-007,A477AV558-002,65,77
SRR27023079,65244438,PRJNA1047679,43338033,AV15-1668,01002183,A595AV283-007,A595AV320-002,13,28
SRR18747942,115896740,PRJNA826530,73994372,AV15-1446,01002412,A294AU436-007,A294AU415-002,13,13
SRR18748867,110551000,PRJNA826648,62894214,22001612560494,01003555,DS-267525,A972BH438-002,15,8
SRR27023021,197604260,PRJNA1047679,121747215,22001805511668,01003758,DS-279359,A706BO778-007,417,432
SRR18749363,55020245,PRJNA826648,34371332,22001612561407,01004596,DS-267294,A862BF447-009,10,7
SRR18748048,88252102,PRJNA826530,55057021,AV15-1422,01004760,A741AU372-007,A741AU420-002,18,18
SRR18747868,78033892,PRJNA826530,46161998,AV15-3836,01005890,DS-243921,A904AZ340-002,8,2
SRR18747707,175536850,PRJNA826530,113831492,AV15-1038,01006974,A941AR682-005,A941AR747-002,14,14
SRR27023226,50929025,PRJNA1047679,25773081,22001612561622,01008097,DS-269522,A808BG188-003,23,24
SRR18749229,231595420,PRJNA826648,143106335,22001701510069,01008612,DS-284624,A773BJ396-002,7,24
SRR18748993,178443475,PRJNA826648,98755129,22001612560396,01008631,DS-270240,A168BH932-004,34,35
SRR18748922,82927530,PRJNA826648,50851117,22001612561965,01009390,DS-272379,A630BH459-003,13,12
SRR18748738,156728355,PRJNA826648,84304462,22001701510725,01010189,DS-284540,A773BJ452-004,11,13
SRR18748039,110980152,PRJNA826530,73046372,AV15-1633,01010823,A626AV128-006,A626AV141-002,13,27
SRR18747693,86026736,PRJNA826530,58570390,AV15-1478,01011802,A042AU490-007,A042AU556-002,11,11
SRR27023182,231825685,PRJNA1047679,140892403,22001612561143,01012428,DS-281706,A020BJ389-002,16,24
SRR18747412,71366830,PRJNA826530,44313790,AV15-3675,01013762,DS-244310,A904AZ143-002,16,12
SRR18748087,89232508,PRJNA826530,60100615,AV15-1319,01013950,A752AT594-004,A752AT607-002,77,77
SRR27023233,40316010,PRJNA1047679,21472015,22001612560020,01015440,DS-268153,A421BG033-008,31,50
SRR18747411,82802390,PRJNA826530,53343263,AV15-1023,01016090,A797AV889-007,A982AR252-002,29,29
SRR18748814,113860985,PRJNA826648,63444931,22001612561482,01017180,DS-280634,A020BJ365-002,27,24
SRR18748802,125453965,PRJNA826648,68081435,22001612562300,01018937,DS-280535,A926BI165-002,16,16
SRR18749298,171977015,PRJNA826648,99980935,22001612560092,01019058,DS-280417,A860BI317-002,32,20
SRR18749374,70640185,PRJNA826648,44416915,22001612562181,01019071,DS-268541,A137BG489-003,20,14
SRR18748928,167514515,PRJNA826648,102084333,22001612561075,01020175,DS-268800,A430BH742-003,8,13
SRR18748075,95492950,PRJNA826530,63900805,AV15-1425,01021026,A046AU701-007,A046AU760-002,30,30
SRR18749246,172489310,PRJNA826648,93981672,22001701511203,01021167,DS-292124,A945BJ550-002,7,8
SRR18748953,105105560,PRJNA826648,67333214,22001701510022,01021265,DS-293488,A581BK360-007,26,48
SRR27023245,90473954,PRJNA1047679,56016502,AV15-3685,01022402,DS-243703,A904AZ473-002,16,4
SRR18749042,200570930,PRJNA826648,126934427,22001701510382,01022407,DS-293033,A436BK523-003,40,13
SRR18747459,65950752,PRJNA826530,37053365,AV15-1259,01022510,A531AT516-005,A531AT547-002,43,43
SRR18747419,95871458,PRJNA826530,59316311,AV15-3630,01022858,DS-244332,A904AZ346-002,8,7
SRR18747385,68579700,PRJNA826530,45287290,22001612560284,01023349,DS-267284,A862BF253-003,11,7
SRR18748074,231147908,PRJNA826530,140038160,AV15-1019,01023946,A941AR619-005,A941AR602-002,16,16
SRR18749421,62063855,PRJNA826648,31718321,22001612561546,01024256,DS-267927,A862BF454-010,10,36
SRR18747610,80074522,PRJNA826530,48915150,AV15-1977,01027114,DS-228265,A197AX076-002,34,25
SRR18749245,191808365,PRJNA826648,103706462,22001701511235,01027537,DS-284542,A773BJ595-002,4,5
SRR18748856,86746835,PRJNA826648,51279018,22001612562223,01028150,DS-268107,A202BI892-020,30,25
SRR18748795,188174700,PRJNA826648,109481400,22001612560501,01029036,DS-280438,A926BI612-002,9,21
SRR27022998,93845780,PRJNA1047679,53325859,22001612562186,01029483,DS-267543,A972BH490-003,20,9
SRR18747628,96621446,PRJNA826530,62509278,AV15-1354,01029984,A500AV824-007,A500AV849-002,48,51
SRR18749046,157911215,PRJNA826648,89878605,22001701510532,01030956,DS-279121,A566BJ840-009,13,16
SRR27023158,84329976,PRJNA1047679,52963786,AV15-1661,01031627,A789AU965-007,A790AU009-002,8,8
SRR18747869,66572228,PRJNA826530,39984562,AV15-3790,01031642,DS-249465,A902AZ340-002,20,4
SRR18748037,118518184,PRJNA826530,79260439,AV15-1636,01032206,A595AV266-006,A595AV339-002,29,47
SRR18747970,74071104,PRJNA826530,46990248,AV15-1058,01032698,A941AR621-005,A941AR605-002,16,16
SRR27023053,61583095,PRJNA1047679,39008061,22001612562184,01032815,DS-268608,A137BG384-003,22,14
SRR18748876,153723010,PRJNA826648,84449467,22001612562597,01033859,DS-267538,A972BH510-002,18,5
SRR27023114,59512495,PRJNA1047679,35484997,22001612561747,01034290,DS-268020,A202BI844-002,30,32
SRR18748769,244506325,PRJNA826648,139013516,22001612561970,01035447,DS-279092,A439BJ730-002,46,18
SRR18749456,145941469,PRJNA826648,82384903,22001612562579,01035670,DS-269430,A808BG205-003,33,9
SRR18749110,88412835,PRJNA826648,53442384,22001612561507,01037387,DS-265281,A089BI824-003,22,30
SRR18747903,141548438,PRJNA826530,91698288,AV15-2116,01037794,DS-228225,A197AX095-002,130,135
SRR18747873,57480506,PRJNA826530,34279697,AV15-3772,01039498,DS-243982,A902AZ284-002,13,4
SRR27023214,138946185,PRJNA1047679,75768154,22001612562434,01040030,DS-270785,A964BG095-003,4,21
SRR18747640,66895516,PRJNA826530,40260242,AV15-1594,01040891,A000AV121-007,A000AV152-002,14,14
SRR18749309,76360515,PRJNA826648,45823853,22001612561043,01042050,DS-271170,A089BI577-002,23,25
SRR18747918,87377618,PRJNA826530,56894795,AV15-1699,01042388,A479AV438-006,A479AV470-002,13,18
SRR18748846,83672470,PRJNA826648,51584114,22001701512075,01044249,DS-268069,A202BI933-002,34,29
SRR27023161,90283696,PRJNA1047679,56704045,AV15-1517,01044780,A538AU187-007,A538AU230-002,18,18
SRR18748083,92875522,PRJNA826530,62964546,AV15-1331,01045282,A042AU510-007,A042AU550-002,7,7
SRR27023034,67191696,PRJNA1047679,37972292,AV15-1313,01047038,A719AT753-004,A719AT798-002,14,14
SRR18747850,65806678,PRJNA826530,40376129,AV15-3477,01047354,DS-244217,A904AZ487-002,5,12
SRR18749411,90891010,PRJNA826648,50236882,22001612561264,01047811,DS-267588,A972BH380-022,19,9
SRR18749428,91796005,PRJNA826648,51054060,22001612560906,01047962,DS-269252,A055BH085-003,9,12
SRR27023007,87311856,PRJNA1047679,55468016,AV15-1212,01048730,A040AV073-007,A875AS605-002,44,44
SRR18747988,149637164,PRJNA826530,96533161,AV15-2107,01049319,DS-231139,A779AW615-002,46,69
SRR18747738,54633495,PRJNA826530,34185222,22001612561254,01049423,DS-267237,A862BF363-003,12,11
SRR18749284,161856065,PRJNA826648,90542281,22001612561360,01051449,DS-280386,A926BI604-002,16,8
SRR18749139,153536180,PRJNA826648,85706449,22001612562231,01052106,DS-265275,A089BI816-002,21,10
SRR18748804,157091900,PRJNA826648,86806005,22001612561935,01052215,DS-280440,A926BI606-002,5,12
SRR27023065,140139324,PRJNA1047679,89789872,AV15-2078,01053293,DS-228222,A197AX168-002,1,3
SRR18749442,73059455,PRJNA826648,37732756,22001612560368,01053715,DS-268789,A447BH928-009,38,15
SRR18747954,108948056,PRJNA826530,69859217,AV15-1397,01054574,A294AU445-007,A294AU423-002,29,29
SRR18748915,153689095,PRJNA826648,93271733,22001612562355,01054953,DS-271227,A901BH768-003,21,7
SRR18749112,95517135,PRJNA826648,57563805,22001612561472,01055203,DS-268837,A089BI740-002,32,11
SRR27023093,137638970,PRJNA1047679,76560058,22001612560202,01057221,DS-280713,A020BJ309-007,29,12
SRR18747708,207347586,PRJNA826530,134288174,AV15-1228,01057226,339150,A976AR222-002,1,21
SRR18748964,117256650,PRJNA826648,75446388,22001612560951,01057494,DS-285391,A404BK271-008,9,6
SRR18748082,106776404,PRJNA826530,72759517,AV15-1336,01057525,A017AU928-007,A018AU022-002,11,11
SRR18747548,61206852,PRJNA826530,38515775,AV15-1097,01058050,A941AR679-005,A941AR745-002,14,14
SRR18749098,73381945,PRJNA826648,43923831,22001612561908,01058129,DS-271210,A089BI575-002,16,10
SRR18749113,99904070,PRJNA826648,59577120,22001612561469,01058434,DS-271216,A089BI664-002,22,22
SRR18747966,60499534,PRJNA826530,35964259,AV15-2028,01059410,DS-162040,A028AY193-002,10,15
SRR18747658,99491882,PRJNA826530,62201868,AV15-1516,01060252,A617AU659-007,A617AU674-002,15,15
SRR18747683,103019436,PRJNA826530,70219658,AV15-1520,01060924,A017AU849-006,A017AU965-002,10,10
SRR27023157,57459422,PRJNA1047679,34355059,AV15-1587,01061070,A981AU859-007,A981AU777-002,7,7
SRR18748762,228794160,PRJNA826648,126550467,22001701510133,01061685,DS-282309,A179BJ663-002,3,4
SRR18747829,53919820,PRJNA826530,34587828,AV15-2462,01062548,DS-244315,A904AZ186-002,8,13
SRR18748906,156734900,PRJNA826648,85902740,22001612560491,01063600,DS-272283,A630BH561-003,23,31
SRR18748080,95834310,PRJNA826530,64495002,AV15-1341,01063758,A046AU703-007,A046AU759-002,37,37
SRR18747775,72123344,PRJNA826530,46088963,AV15-3870,01063898,DS-244328,A904AZ097-002,14,10
SRR18749204,121251480,PRJNA826648,73385751,22001701510979,01064166,DS-293470,A581BK395-008,15,23
SRR18748119,68383444,PRJNA826530,37730421,AV15-1309,01064890,A597AT750-004,A597AT755-002,71,71
SRR18749420,92489775,PRJNA826648,47076173,22001612561581,01065495,DS-268234,A007BG411-003,8,29
SRR18747986,87476512,PRJNA826530,56608129,AV15-2166,01065944,DS-228196,A196AX878-002,113,122
SRR18749122,71888495,PRJNA826648,43874807,22001612561280,01066219,DS-271215,A089BI593-002,24,22
SRR18748979,161823340,PRJNA826648,88655882,22001612561741,01066842,DS-268374,A308BH444-003,26,29
SRR18747904,80343092,PRJNA826530,51402023,AV15-1043,01067542,A943AR080-005,A943AR092-002,22,22
SRR18749261,200673270,PRJNA826648,117853221,22001612561191,01068343,DS-280497,A926BI701-002,6,25
SRR27023070,149940874,PRJNA1047679,96610094,AV15-1971,01068675,DS-232542,A939AW240-002,26,43
SRR27023238,88294772,PRJNA1047679,56142809,AV15-2476,01068688,DS-244325,A904AZ084-002,6,14
SRR18749063,130804834,PRJNA826648,72755815,22001612560460,01069664,DS-265767,A862BF417-003,3,17
SRR18748045,99900008,PRJNA826530,62552840,AV15-1432,01070019,A741AU375-007,A741AU405-002,12,12
SRR18748966,100397920,PRJNA826648,64450349,22001612560684,01070356,DS-291888,A265BK960-005,6,8
SRR18748813,127437100,PRJNA826648,70856003,22001612561497,01070706,DS-279602,A710BI379-008,17,39
SRR18747885,73903938,PRJNA826530,47032413,AV15-2004,01071494,DS-228775,A938AW966-002,3,32
SRR18747679,103071644,PRJNA826530,69249948,AV15-1526,01072510,A017AU931-007,A018AU025-002,29,29
SRR18748106,103714204,PRJNA826530,69572754,AV15-1183,01072970,A928AS348-005,A928AS394-002,13,13
SRR18749227,124377015,PRJNA826648,81444690,22001701510503,01073785,DS-285374,A404BK053-008,10,5
SRR27023040,76327594,PRJNA1047679,49060910,AV15-1141,01074178,A000AV118-007,A563AS521-002,43,43
SRR18747786,82280812,PRJNA826530,53405858,AV15-3696,01074358,DS-244288,A904AZ148-002,16,17
SRR18748743,208767055,PRJNA826648,111686532,22001701510128,01074839,DS-291630,A945BJ316-002,11,8
