metabolite,n_taxa_x,micro_r2,micro_f,micro_p,micro_q,n_taxa_y,geno_r2,geno_f,geno_p,geno_q,CHEMICAL_ID,BIOCHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY,CAS,KEGG,total,group
metabolite_2054,1.0,0.007357458572199382,7.06362837242559,0.007998142450776773,0.008851947296385597,2.0,0.5236631591235861,44.49996755192137,1.3230579144945781e-132,2.407965404380132e-130,2054,ethylmalonate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",601-75-2,,0.5310206176957855,hybrid
metabolite_100001054,3.0,0.03011634422121201,9.729470608584734,2.5155611768028914e-06,9.852614609144658e-06,2.0,0.4807663574620207,40.65208940047781,1.169060323255066e-115,1.0638448941621101e-113,100001054,butyrylcarnitine (C4),Lipid,Fatty Acid Metabolism (also BCAA Metabolism),25576-40-3,C02862,0.5108827016832327,hybrid
metabolite_100002253,52.0,0.46301283270272986,13.978267643388316,4.055014449207213e-82,2.8587851866910846e-79,,0.0,,1.0,,100002253,cinnamoylglycine,Xenobiotics,Food Component/Plant,16534-24-0,,0.46301283270272986,microbiome
metabolite_100020550,16.0,0.06585220739838082,3.9036285409716434,3.7933269334070944e-07,1.9239535885266198e-06,2.0,0.3664342852160233,57.38698169603817,1.5711710231624265e-82,4.085044660222309e-81,100020550,deoxycholic acid glucuronide,Lipid,Secondary Bile Acid Metabolism,,,0.4322864926144041,hybrid
metabolite_100001577,,0.0,,1.0,,2.0,0.4209311585397938,64.93732835184102,2.317962319916229e-89,1.054672855561884e-87,100001577,N-acetylcitrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,33965-42-3,C15532,0.4209311585397938,genetics
metabolite_100000010,50.0,0.39959069661047963,10.954631830448903,3.7335423566794074e-62,1.316073680729491e-59,,0.0,,1.0,,100000010,3-phenylpropionate (hydrocinnamate),Amino Acid,Phenylalanine and Tyrosine Metabolism,501-52-0,C05629,0.39959069661047963,microbiome
metabolite_100002488,56.0,0.3890261980134212,9.926187557395028,1.5254345691440291e-61,3.584771237488468e-59,,0.0,,1.0,,100002488,isoursodeoxycholate,Lipid,Secondary Bile Acid Metabolism,78919-26-3,C17662,0.3890261980134212,microbiome
metabolite_100000054,,0.0,,1.0,,2.0,0.3759829813489982,87.86755778754576,3.435281512855441e-86,1.2504424706793807e-84,100000054,5-hydroxylysine,Amino Acid,Lysine Metabolism,13204-98-3,C16741,0.3759829813489982,genetics
metabolite_100009264,,0.0,,1.0,,2.0,0.3631499100277269,57.33961811072045,1.0705129637883936e-82,3.247222656824794e-81,100009264,glycochenodeoxycholate glucuronide (1),Lipid,Primary Bile Acid Metabolism,,,0.3631499100277269,genetics
metabolite_100001253,1.0,0.009125365860887635,8.500280862388843,0.003636812703694118,0.004405417450351123,2.0,0.3449157326915119,53.529651944951645,3.957717323690872e-78,8.003383921241541e-77,100001253,N-acetylglutamine,Amino Acid,Glutamate Metabolism,2490-97-3,C02716,0.3540410985523995,hybrid
metabolite_100021711,1.0,0.014988101924195307,14.257545041237842,0.00016946045711989944,0.00033278446314632064,2.0,0.33360503704616096,58.19609647815209,6.92364944759377e-77,1.2601041994620662e-75,100021711,decadienedioic acid (C10:2-DC)**,Lipid,"Fatty Acid, Dicarboxylate",,,0.34859313897035626,hybrid
